Timestamp,Item Name,Provider,Prom start Date,Prom Ending Date,Channel,Region,Condition,Line type,Promotion Price,Data,GB,Original Price,Rate after overage,Roaming,BYOD or Term,Free LD,Activation Fee,Code,Tier
,CTEXCEL中国电信（02.10）,Ctexcel,2/10/2025,,CT,全国,,0.0,15,250,MB,,无限流量,CN CAN,1,,$10 ,,
,Phonebox Telus (12.23),Phonebox,12/23/2024,,PB,全国,,0.0,27,20,GB,,超额每GB$15,CAN,1,中美港等29国无限免费长途,,,
,Bell手机特殊计划(无佣金)(01.10),Bell,12/7/2024,,AO-Bell,全国,特殊计划,0.0,30,40,GB,,无限流量,CAN,1,免费拨打美国,$0 ,,
,FIDO手机(新人计划),FIDO,1/7/2025,,PPW,OverSeas,,3.0,35,75,GB,44,无限低速,CAN,1,送1000分钟中港,0,,
,CTEXCEL中国电信（02.10）,Ctexcel,2/10/2025,,CT,全国,WINBACK,0.0,35,75,GB,,无限流量,CN CAN,1,,$10 ,,
,Phonebox Telus (12.23),Phonebox,12/23/2024,,PB,全国,,0.0,35,75,GB,,超额每GB$15,CAN,1,中美港等29国无限免费长途,,,
,Koodo个人月费计划,Koodo,1/7/2025,,TMR,全国,,0.0,39,20,GB,44,,CAN,1,,,,
,FIDO手机,FIDO,3/1/2025,,PPW,QC,,2.0,$25 ,10,GB,$45 ,无限低速,CAN,1,送1000分钟中港+美国长途,$75(全退),,
,TELUS Business 商业新客计划 ,TELUS,1/12/2025,,TMR,全国,,0.0,40,100,GB,55,,CAN,1,,$70($10x7个月) 全退,,
,Rogers  SOHO Bundle,Rogers,1/8/2025,,PPW,全国,,0.0,40,200,GB,95,无限流量,CAN,2,,$75($7.5x10个月) 全退,,
,CTEXCEL中国电信（02.10）,Ctexcel,2/10/2025,,CT,全国,WINBACK,,40,100,GB,,无限流量,CN CAN,1,,$10 ,,
,Bell手机特殊计划(无佣金)(01.10),Bell,12/7/2024,,AO-Bell,全国,特殊计划,,40,100,GB,,无限流量,CAN,1,免费拨打美国,$0 ,,
,Phonebox Telus (12.23),Phonebox,12/23/2024,,PB,全国,,,40,100,GB,,超额每GB$15,CAN,1,中美港等29国无限免费长途,,,
,Rogers  SOHO Bundle,Rogers,1/8/2025,1/13/2025,PPW,全国,,,55,250,GB,100,无限流量,USA CAN MEX,2,,$75($7.5x10个月) 全退,,
,Rogers RPP(02.18),Rogers,2/18/2025,,PPW,全国,,1.0,40,60,GB,105,无限流量,CAN,1,,$75($7.5x10个月) 全退,,
,Koodo个人月费计划,Koodo,1/7/2025,,TMR,全国,,,44,40,GB,49,,CAN,1,,,,
,Bell SOHO手机计划（01.07）,Bell,1/7/2025,,AO-Bell,全国,SOHO,,45,200,GB,,无限流量,CAN,1,送1000分钟中港印度等,$70($10x7个月) 全退,,
,CTEXCEL中国电信（02.10）,Ctexcel,2/10/2025,,CT,QC,,,49,80,GB,,无限流量,CN CAN,1,,$10 ,,
,FIDO手机,FIDO,3/1/2025,,PPW,QC,,0.0,$35 ,10,GB,$45 ,无限低速,CAN,1,送1000分钟中港+美国长途,$75(全退),,
,Rogers RPP(02.18),Rogers,2/18/2025,,PPW,全国,,1.0,45,60,GB,110,无限流量,CAN,2,,$75($7.5x10个月) 全退,,
,CTEXCEL中国电信（02.10）,Ctexcel,2/11/2025,,CT,全国,,,45,60,GB,,无限流量,CN CAN,1,,$10 ,,
,Koodo个人月费计划,Koodo,1/7/2025,,TMR,全国,,,49,60,GB,54,,CAN,1,,,,
,Rogers RPP(02.18),Rogers,2/18/2025,,PPW,全国,,1.0,50,100,GB,115,无限流量,CAN USA,1,,$75($7.5x10个月) 全退,,
,Bell手机特殊计划(无佣金)(01.10),Bell,12/8/2024,,AO-Bell,全国,特殊计划,,50,120,GB,,无限流量,USA CAN,1,免费拨打美国,$0 ,,
,FIDO手机,FIDO,3/1/2025,,PPW,QC,,0.0,$39 ,60,GB,$49 ,无限低速,CAN,1,送1000分钟中港+美国长途,$75(全退),,
,Koodo个人月费计划,Koodo,1/7/2025,,TMR,全国,,,54,60,GB,59,,CAN,2,,,,
,TELUS Business 商业新客计划 ,TELUS,1/12/2025,,TMR,全国,,,55,100,GB,50,,USA CAN,2,,$70($10x7个月) 全退,,
,Rogers RPP(02.18),Rogers,2/18/2025,,PPW,全国,,1.0,55,100,GB,120,无限流量,CAN USA,2,,$75($7.5x10个月) 全退,,
,CTEXCEL中国电信（02.10）,Ctexcel,2/10/2025,,CT,全国,WINBACK,,55,120,GB,,无限流量,CN CAN,1,,$10 ,,
,Phonebox Telus (12.23),Phonebox,12/23/2024,,PB,全国,,,55,120,GB,,超额每GB$15,CAN,1,中美港等29国无限免费长途,,,
,Rogers RPP(02.18),Rogers,2/18/2025,,PPW,全国,,2.0,35,60,GB,110,无限流量,CAN,2,,$75($7.5x10个月) 全退,,
,Rogers RPP(02.18),Rogers,2/18/2025,,PPW,全国,,2.0,35,60,GB,105,无限流量,CAN,1,,$75($7.5x10个月) 全退,,
,Rogers RPP(02.18),Rogers,2/18/2025,,PPW,全国,,2.0,50,100,GB,115,无限流量,CAN USA,1,,$75($7.5x10个月) 全退,,
,Rogers RPP(02.18),Rogers,2/18/2025,,PPW,全国,,2.0,55,100,GB,120,无限流量,CAN USA,2,,$75($7.5x10个月) 全退,,
,Rogers RPP(02.18),Rogers,2/18/2025,,PPW,全国,,2.0,60,150,GB,105,无限流量,CAN MEX USA,1,,$75($7.5x10个月) 全退,,
,Rogers RPP(02.18),Rogers,2/18/2025,,PPW,全国,,2.0,65,150,GB,110,无限流量,CAN MEX USA,2,,$75($7.5x10个月) 全退,,
,FIDO手机,FIDO,3/15/2025,,PPW,全国,,1.0,$40 ,60,GB,$55 ,无限低速,CAN,1,送1000分钟中港+美国长途,$75(全退),,
,FIDO手机,FIDO,3/15/2025,,PPW,全国,,2.0,$35 ,60,GB,$55 ,无限低速,CAN,1,送1000分钟中港+美国长途,$75(全退),,
,FIDO手机,FIDO,3/15/2025,,PPW,全国,,0.0,$40 ,60,GB,$55 ,无限低速,CAN,2,送1000分钟中港+美国长途,$75(全退),,
,Bell SOHO手机计划（01.07）,Bell,1/7/2025,,AO-Bell,全国,SOHO,,55,200,GB,,无限流量,USA CAN MEX,1,送1000分钟中港印度等,$70($10x7个月) 全退,,
,CTEXCEL中国电信（02.10）,Ctexcel,2/4/2025,,CT,全国,,,55,80,GB,,无限流量,CN CAN,1,,$10 ,,
,Rogers RPP(02.18),Rogers,2/18/2025,,PPW,全国,,1.0,60,150,GB,105,无限流量,CAN MEX USA,1,,$75($7.5x10个月) 全退,,
,Rogers RPP(02.18),Rogers,2/18/2025,,PPW,全国,,1.0,65,150,GB,110,无限流量,CAN MEX USA,2,,$75($7.5x10个月) 全退,,
,FIDO手机,FIDO,3/15/2025,,PPW,全国,,0.0,$50 ,80,GB,$65 ,无限低速,USA CAN,1,送1000分钟中港+美国长途,$75(全退),,
